 ,Area,Mean,Angle,Length,Avg_length
1,861.122,122.919,-16.144,59.241,
2,861.122,124.469,-23.199,57.023,
3,1004.643,124.718,-39.036,71.332,
4,717.602,142.037,-45,50.827,
5,861.122,139.889,-56.725,57.317,
6,861.122,139.547,-52.524,56.609,
7,1004.643,126.883,-32.969,66.043,57.0373235294118
8,1004.643,140.236,-50.042,72.284,
9,1004.643,139.443,-41.634,72.129,
10,717.602,138.872,-35.311,44.043,
11,861.122,136.902,-53.673,63.197,
12,861.122,154.758,-51.34,57.532,
13,1004.643,126.901,-50.528,65.958,
14,861.122,107.39,-48.814,63.675,
15,861.122,127.192,-60.803,58.326,
16,861.122,111.853,-48.24,56.211,
17,717.602,122.22,-41.496,51.983,
18,1004.643,133.411,-49.538,66.92,
19,717.602,124.3,-51.953,43.736,
20,574.082,120.029,-38.991,40.46,
21,1004.643,142.15,-34.992,73.117,
22,717.602,109.956,-36.87,52.413,
23,861.122,140.18,-50.599,54.262,
24,717.602,111.605,-145.784,45.273,
25,717.602,113.26,-49.574,53.114,
26,717.602,118.96,-43.668,45.545,
27,717.602,120.825,-50.194,46.783,
28,717.602,107.973,-41.348,49.869,
29,861.122,111.907,-36.254,55.71,
30,574.082,127.255,-138.366,36.065,
31,861.122,132.426,-53.427,57.804,
32,861.122,111.257,-55.125,60.236,
33,1148.163,115.894,-60.751,85.816,
34,717.602,133.028,-60.751,42.908,
35,717.602,125.984,-19.983,52.583,
36,574.082,103.76,-36.87,37.438,
37,717.602,109.662,-35.538,51.528,
38,1004.643,95.875,178.854,74.89,
39,717.602,118.2,-33.179,46.519,
40,861.122,135.011,-31.504,54.448,
41,717.602,135.9,180,46.422,
42,574.082,141.25,-53.973,40.736,
43,861.122,135.565,-42.955,59.336,
44,717.602,149.077,-38.157,53.324,
45,717.602,94.672,-150.255,48.293,
46,717.602,125.329,-144.689,44.043,
47,861.122,133.169,-38.418,55.428,
48,861.122,103.484,-29.745,60.366,
49,1004.643,121.616,-23.051,76.49,
50,861.122,121.036,-27.216,58.938,
51,861.122,115.48,-130.764,57.337,
52,574.082,117.365,-43.531,41.31,
53,861.122,122.835,-71.565,56.826,
54,574.082,139.93,-135,38.12,
55,717.602,127.678,-124.695,47.355,
56,717.602,116.693,-123.232,51.918,
57,717.602,109.697,-138.814,47.756,
58,861.122,114.567,-126.573,57.804,
59,717.602,121.096,-136.332,45.545,
60,717.602,134.312,-158.552,45.05,
61,861.122,114.663,-159.075,54.51,
62,717.602,107.855,-106.189,48.339,
63,717.602,113.161,-99.782,44.068,
64,861.122,123.377,-143.673,63.197,
65,1004.643,123.348,-6.203,69.291,
66,861.122,117.286,-58.299,59.844,
67,717.602,104.195,-12.875,53.764,
68,861.122,112.913,-47.911,62.555,
69,1291.684,93.46,-127.626,90.756,
70,861.122,115.517,-114.444,54.283,
71,1004.643,134.227,-132.436,71.017,
72,1148.163,141.562,-121.293,89.375,
73,1004.643,114.008,-161.2,74.349,
74,1004.643,109.461,143.616,70.685,
75,717.602,133.314,0,50.915,
76,717.602,111.169,180,43.428,
77,861.122,126.198,-134.061,64.601,
78,861.122,130.588,-140.906,61.744,
79,861.122,126.614,-111.541,61.178,
80,574.082,128.034,-120.256,41.608,
81,861.122,125.565,-104.744,58.842,
82,861.122,126.516,-124.509,58.152,
83,861.122,111.583,-127.476,56.609,
84,1004.643,118.684,-116.003,68.313,
85,861.122,112.917,-102.381,62.859,
86,861.122,126.178,-40.156,62.699,
87,1004.643,99.596,-121.608,68.575,
88,861.122,136.818,-118.61,56.291,
89,717.602,108.284,6.71,51.266,
90,717.602,114.96,-162.121,48.778,
91,717.602,110.805,-176.424,48.014,
92,717.602,103.448,-137.603,46.639,
93,861.122,114,-135,55.062,
94,861.122,113.79,-121.218,57.785,
95,717.602,120.511,-99.162,47.022,
96,717.602,105.761,-107.928,53.513,
97,861.122,97.512,-150.803,58.326,
98,1004.643,105.83,-144.605,69.807,
99,861.122,120.418,-117.897,57.61,
100,1148.163,120.075,-132.207,86.932,
101,861.122,127.467,-118.496,59.637,
102,1004.643,114.1,-135,72.005,
